CustomIntervall;; linecount Zugang Europaviertel; linecount Bahnsteig01; linecount Bahnsteig02; linecount Bahnsteig03; linecount Bahnsteig04; linecount Bahnsteig05; linecount Bahnsteig06; linecount Bahnsteig07; linecount Bahnsteig08; Querbahnsteig; STG_QB04_Steg01; STG_Bonatz10_Steg01; STG_QB12_Steg02; STG_Bonatz13_Steg02; STG_Bonatz04; linecount Zugang Infoturm Stuttgart; linecount Zugang Schlossgarten; (AB) linecount Zugang Schlossgarten+ITS;Bahnsteige Gesamt angepasst;Steg 02 Gesamt
07.01.2023 20:00;;1374;820;444;500;643;597;0;938;1192;5134;0;0;0;0;1890;6;115;0;5.134;1.890
07.01.2023 21:00;;1074;456;213;382;436;471;0;695;1162;3815;0;0;0;0;1384;14;140;0;3.815;1.384
07.01.2023 22:00;;760;335;76;279;391;644;0;412;721;2858;0;0;0;0;1194;6;93;0;2.858;1.194
07.01.2023 23:00;;575;134;167;21;236;370;0;249;478;1655;0;0;0;0;766;4;70;0;1.655;766
08.01.2023 00:00;;409;84;28;212;199;300;0;117;96;1036;0;0;0;0;504;2;51;0;1.036;504
08.01.2023 01:00;;116;45;8;9;73;23;0;52;101;311;0;0;0;0;171;0;16;0;311;171
08.01.2023 02:00;;119;36;6;6;81;49;0;55;49;282;0;0;0;0;116;0;11;0;282;116
08.01.2023 03:00;;98;41;6;15;50;16;0;6;112;246;0;0;0;0;136;0;15;0;246;136
08.01.2023 04:00;;243;78;30;19;87;114;0;109;264;701;0;0;0;0;270;0;18;0;701;270
08.01.2023 05:00;;304;134;64;75;101;270;0;221;58;923;0;0;0;0;335;0;17;0;923;335
08.01.2023 06:00;;355;227;106;48;229;262;0;159;109;1140;0;0;0;0;373;6;22;0;1.140;373
08.01.2023 07:00;;550;205;64;120;190;449;0;131;447;1606;0;0;0;0;400;2;47;0;1.606;400
08.01.2023 08:00;;804;550;167;289;301;595;0;219;559;2680;0;0;0;0;579;16;77;0;2.680;579
08.01.2023 09:00;;1046;597;203;354;428;633;0;244;768;3227;0;0;0;0;757;26;94;0;3.227;757
08.01.2023 10:00;;1412;975;574;359;465;1174;0;390;1250;5187;0;0;0;0;1100;40;181;0;5.187;1.100
08.01.2023 11:00;;1716;875;587;1205;275;1353;0;704;1133;6132;0;0;0;0;1411;42;238;0;6.132;1.411
08.01.2023 12:00;;1555;1167;534;881;514;1046;0;915;1016;6073;0;0;0;0;1580;95;220;0;6.073;1.580
08.01.2023 13:00;;1946;1155;739;1285;775;1231;0;767;1335;7287;0;0;0;0;1724;56;283;0;7.287;1.724
08.01.2023 14:00;;2153;1323;713;755;1236;1642;0;760;1704;8133;0;0;0;0;1889;57;305;0;8.133;1.889
08.01.2023 15:00;;2362;1347;992;837;826;1913;0;1165;1694;8774;0;0;0;0;2116;127;326;0;8.774;2.116
08.01.2023 16:00;;2370;1463;884;1166;557;1712;0;1170;1719;8671;0;0;0;0;2258;40;360;0;8.671;2.258
08.01.2023 17:00;;2143;1454;803;864;791;1674;0;961;2253;8800;0;0;0;0;2296;123;325;0;8.800;2.296
08.01.2023 18:00;;1930;1178;624;1184;905;1489;0;747;1365;7492;0;0;0;0;1842;13;237;0;7.492;1.842
08.01.2023 19:00;;1559;845;498;683;585;1181;0;1088;1287;6167;0;0;0;0;1609;13;182;0;6.167;1.609
08.01.2023 20:00;;1590;928;490;484;824;837;0;1126;1129;5818;0;0;0;0;1599;12;190;0;5.818;1.599
08.01.2023 21:00;;1037;372;455;362;359;457;0;555;1104;3664;0;0;0;0;1326;2;144;0;3.664;1.326
08.01.2023 22:00;;573;168;32;338;224;319;0;212;572;1865;0;0;0;0;620;0;72;0;1.865;620
